%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1520814084807180412,138,1520814084806556940,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814085737969402,139,1520814085737013101,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814086800090284,140,1520814086799253940,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814087776447627,141,1520814087775713920,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814088748171820,142,1520814088747193098,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814089830444477,143,1520814089829744100,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814090833364041,144,1520814090832732915,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814091814884157,145,1520814091813863992,map,1,1,21.432505,-157.789298333,21.0,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814092829790966,146,1520814092828615903,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814093832331917,147,1520814093831330060,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814094831119412,148,1520814094829894065,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
