%time,field.data
1520814052072257203,47
1520814052147270612,47
1520814052221248741,47
1520814052294978238,47
1520814052370478147,47
1520814052444483729,47
1520814052518455658,47
1520814052592238051,47
1520814052651307270,47
1520814052712198982,47
1520814052770644061,47
1520814052845771810,47
1520814052917921893,47
1520814052993420401,47
1520814053067452322,47
1520814053142419741,47
1520814053216521067,47
1520814053290234265,47
1520814053363779034,47
1520814053439435086,47
1520814053513290556,47
1520814053587235656,47
1520814053661628332,47
1520814053736318077,47
1520814053810132660,47
1520814053884146763,47
1520814053943951096,47
1520814054002706589,47
1520814054062497856,47
1520814054136367894,47
1520814054211559911,47
1520814054285504345,47
1520814054359296973,47
1520814054433112348,47
1520814054507610228,47
1520814054582131122,47
1520814054656508282,47
1520814054730156329,47
1520814054804688675,47
1520814054878354434,47
1520814054953189887,47
1520814055027144444,47
1520814055101128483,47
1520814055176145345,47
1520814055250213295,47
1520814055309383067,47
1520814055368438206,47
1520814055442686375,47
1520814055516823113,47
1520814055591660971,47
1520814055665526905,47
1520814055739427622,47
1520814055813447514,47
1520814055888922622,47
1520814055962598682,47
1520814056036830071,47
1520814056110290658,47
1520814056185589851,47
1520814056259679032,47
1520814056333454554,47
1520814056406915702,47
1520814056480980738,47
1520814056541361148,47
1520814056599801043,47
1520814056660681380,47
1520814056734866446,47
1520814056808438117,47
1520814056882938499,47
1520814056956091782,47
1520814057031582329,47
1520814057105556610,47
1520814057179587713,47
1520814057254569154,47
1520814057328415131,47
1520814057402270372,47
1520814057476033844,47
1520814057550555275,47
1520814057625791037,47
1520814057699729735,47
1520814057773088604,47
1520814057832243823,47
1520814057892034671,47
1520814057951148496,47
1520814058024968459,47
1520814058100723679,47
1520814058174422602,47
1520814058248558249,47
1520814058322405411,47
1520814058397111526,47
1520814058471233664,47
1520814058545182247,47
1520814058618894378,47
1520814058692975344,47
1520814058767814445,47
1520814058842453814,47
1520814058915987620,47
1520814058991412221,47
1520814059064924008,47
1520814059124621350,47
1520814059183583768,47
1520814059242880450,47
1520814059317250927,47
1520814059391179016,47
1520814059465549681,47
1520814059539936216,47
1520814059614164672,47
1520814059687966620,47
1520814059761447803,47
1520814059836813538,47
1520814059910879988,47
1520814059985058977,47
1520814060058846126,47
1520814060133896793,47
1520814060207814229,47
1520814060281409572,47
1520814060355505070,47
1520814060415033706,47
1520814060474543640,47
1520814060543170504,47
1520814060606985708,47
1520814060681957182,47
1520814060755738754,47
1520814060829711403,47
1520814060904029253,47
1520814060978390115,47
1520814061053990674,47
1520814061127940917,47
1520814061202726147,47
1520814061277366814,47
1520814061352121044,47
1520814061423389116,47
1520814061497434825,47
1520814061573836078,47
1520814061647976600,47
1520814061706900625,47
1520814061766625949,47
1520814061826159123,47
1520814061899751506,47
1520814061973400430,47
1520814062048669688,47
1520814062122660423,47
1520814062196758573,47
1520814062270523314,47
1520814062345718226,47
1520814062419774041,47
1520814062493448158,47
1520814062567432232,47
1520814062641294672,47
1520814062716006921,47
1520814062790540397,47
1520814062864351320,47
1520814062939547315,47
1520814062997857514,47
1520814063058210998,47
1520814063116270743,47
1520814063191684372,47
1520814063265736900,47
1520814063339468796,47
1520814063414690371,47
1520814063488216655,47
1520814063562539008,47
1520814063636268062,47
1520814063710016429,47
1520814063785111514,47
1520814063859341012,47
1520814063933436615,47
1520814064007154250,47
1520814064082460183,47
1520814064156283958,47
1520814064229971908,47
1520814064289749200,47
1520814064348810312,47
1520814064408460069,47
1520814064482472340,47
1520814064556680077,47
1520814064631327631,47
1520814064705227991,47
1520814064778763178,47
1520814064852944153,47
1520814064928113254,47
1520814065002326153,47
1520814065076229858,47
1520814065150826124,47
1520814065224870723,47
1520814065298971769,47
1520814065372847254,47
1520814065446662338,47
1520814065522209328,47
1520814065581524681,47
1520814065640817142,47
1520814065700209998,47
1520814065773874020,47
1520814065847887425,47
1520814065921597961,47
1520814065997343735,47
1520814066070981097,47
1520814066145242905,47
1520814066218918022,47
1520814066293774883,47
