%time,field.data
1520814052067758691,47
1520814052142130079,47
1520814052216249543,47
1520814052289524017,47
1520814052363821718,47
1520814052437534237,47
1520814052511250724,47
1520814052585022109,47
1520814052645979063,47
1520814052707114094,47
1520814052765444255,47
1520814052839169344,47
1520814052911190010,47
1520814052985658458,47
1520814053059730209,47
1520814053137351373,47
1520814053211153388,47
1520814053284923223,47
1520814053358390962,47
1520814053432176152,47
1520814053505902147,47
1520814053579903913,47
1520814053654047112,47
1520814053731186113,47
1520814053804725150,47
1520814053878837476,47
1520814053935959996,47
1520814053997056213,47
1520814054054695959,47
1520814054128859471,47
1520814054206071065,47
1520814054279877785,47
1520814054353859793,47
1520814054427960439,47
1520814054502198299,47
1520814054574992026,47
1520814054648587033,47
1520814054722371357,47
1520814054799863883,47
1520814054873637301,47
1520814054947620447,47
1520814055022144087,47
1520814055095993279,47
1520814055169614724,47
1520814055242611413,47
1520814055303945573,47
1520814055361069418,47
1520814055435410931,47
1520814055509224323,47
1520814055586529739,47
1520814055660031113,47
1520814055733638034,47
1520814055808532861,47
1520814055882122283,47
1520814055955652765,47
1520814056028775065,47
1520814056103414772,47
1520814056180532683,47
1520814056254295351,47
1520814056328038020,47
1520814056401511466,47
1520814056475019955,47
1520814056536647528,47
1520814056594458417,47
1520814056655769327,47
1520814056729055497,47
1520814056802533514,47
1520814056877841508,47
1520814056950860320,47
1520814057024493071,47
1520814057097890872,47
1520814057172296426,47
1520814057249404322,47
1520814057323304979,47
1520814057397186000,47
1520814057471252685,47
1520814057545469567,47
1520814057618921756,47
1520814057692227034,47
1520814057765812990,47
1520814057827001820,47
1520814057884971845,47
1520814057945620402,47
1520814058020125523,47
1520814058093252111,47
1520814058167646595,47
1520814058241521560,47
1520814058315291407,47
1520814058392183401,47
1520814058465709857,47
1520814058539819641,47
1520814058614182239,47
1520814058686962785,47
1520814058761423608,47
1520814058835607948,47
1520814058909047974,47
1520814058986090952,47
1520814059059855153,47
1520814059117616713,47
1520814059178774650,47
1520814059236354070,47
1520814059309877301,47
1520814059383265414,47
1520814059460758765,47
1520814059534735342,47
1520814059608628238,47
1520814059682570395,47
1520814059756730266,47
1520814059829566477,47
1520814059904449585,47
1520814059977106731,47
1520814060050888025,47
1520814060128732042,47
1520814060202623737,47
1520814060275998562,47
1520814060350356033,47
1520814060407708345,47
1520814060469540313,47
1520814060527135656,47
1520814060603073036,47
1520814060676805797,47
1520814060750622486,47
1520814060825157594,47
1520814060898213525,47
1520814060972480641,47
1520814061046646706,47
1520814061120922929,47
1520814061197748536,47
1520814061271377265,47
1520814061345273345,47
1520814061418844836,47
1520814061493095986,47
1520814061566340456,47
1520814061640466212,47
1520814061701383858,47
1520814061758978195,47
1520814061820470816,47
1520814061894570021,47
1520814061968051472,47
1520814062041872681,47
1520814062115943411,47
1520814062189557145,47
1520814062262564073,47
1520814062340572465,47
1520814062414389895,47
1520814062488044503,47
1520814062562653843,47
1520814062635176457,47
1520814062709610491,47
1520814062783029153,47
1520814062857480505,47
1520814062934346592,47
1520814062991815707,47
1520814063053172037,47
1520814063111136661,47
1520814063184429314,47
1520814063258024308,47
1520814063332028501,47
1520814063409585020,47
1520814063483250690,47
1520814063557104739,47
1520814063630875800,47
1520814063704272877,47
1520814063778559562,47
1520814063852670932,47
1520814063925670101,47
1520814063999354166,47
1520814064077183069,47
1520814064151003039,47
1520814064224580965,47
1520814064281561071,47
1520814064343708507,47
1520814064400378617,47
1520814064474126392,47
1520814064552084679,47
1520814064626071723,47
1520814064699562082,47
1520814064773660133,47
1520814064846969177,47
1520814064921148303,47
1520814064994812454,47
1520814065067901193,47
1520814065146002533,47
1520814065219883981,47
1520814065293563186,47
1520814065367421681,47
1520814065441775496,47
1520814065515369976,47
1520814065576347906,47
1520814065634435183,47
1520814065695020801,47
1520814065768344968,47
1520814065842740891,47
1520814065916396405,47
1520814065989592539,47
1520814066064389657,47
1520814066137647018,47
1520814066212199680,47
1520814066288734185,47
1520814066362646033,47
1520814066436140451,47
1520814066509928498,47
1520814066584656119,47
1520814066658722147,47
1520814066731928523,47
1520814066805623390,47
1520814066866888531,47
1520814066924312415,47
1520814066985714983,47
1520814067058936354,47
1520814067133567189,47
1520814067206284581,47
1520814067280139516,47
1520814067357877921,47
1520814067431409999,47
1520814067505628556,47
1520814067579806428,47
1520814067652762719,47
1520814067727140312,47
1520814067800111994,47
1520814067874190953,47
1520814067947623507,47
1520814068025500382,47
1520814068099315073,47
1520814068156828703,47
1520814068217867371,47
1520814068275934859,47
1520814068350459995,47
1520814068422614021,47
1520814068500617301,47
1520814068574431179,47
1520814068648234407,47
1520814068722851936,47
1520814068796554836,47
1520814068869558966,47
1520814068942572300,47
1520814069017781559,47
1520814069094132788,47
1520814069168240752,47
1520814069242093810,47
1520814069315901729,47
1520814069389692449,47
1520814069447358429,47
1520814069507995086,47
1520814069565817909,47
1520814069643586558,47
1520814069717190339,47
1520814069790929827,47
1520814069865432230,47
1520814069938864615,47
1520814070012126940,47
1520814070085628669,47
1520814070159211628,47
1520814070237064836,47
1520814070310726587,47
1520814070384573489,47
1520814070459161945,47
1520814070532033914,47
1520814070606342869,47
1520814070679455002,47
1520814070740993037,47
1520814070798120884,47
1520814070860085014,47
1520814070934095826,47
1520814071007374482,47
1520814071082056604,47
1520814071154664017,47
1520814071228581490,47
1520814071302465784,47
1520814071380185733,47
1520814071453752557,47
1520814071527815584,47
1520814071601314454,47
1520814071675709281,47
1520814071748664309,47
1520814071822023098,47
1520814071895932519,47
1520814071973424442,47
1520814072031236850,47
1520814072093017306,47
1520814072150255308,47
1520814072224384641,47
1520814072297669357,47
1520814072370862373,47
1520814072448647681,47
1520814072522757643,47
1520814072596676456,47
1520814072670835194,47
1520814072743943988,47
1520814072818334402,47
1520814072891192496,47
1520814072964749874,47
1520814073042956161,47
1520814073116533659,47
1520814073190227737,47
1520814073264207632,47
1520814073321425486,47
1520814073382978607,47
1520814073457131634,47
1520814073530612945,47
1520814073603860585,47
1520814073678101601,47
1520814073751582069,47
1520814073829042242,47
1520814073903288806,47
1520814073976759742,47
1520814074050816997,47
1520814074124229653,47
1520814074198713703,47
1520814074272119291,47
1520814074346070650,47
1520814074423123488,47
1520814074496978964,47
1520814074570403522,47
1520814074628335821,47
1520814074689259200,47
1520814074763530063,47
1520814074838010785,47
1520814074911599110,47
1520814074984312487,47
1520814075058947936,47
1520814075132099052,47
1520814075209761513,47
1520814075283229174,47
1520814075356775776,47
1520814075430744790,47
1520814075505214609,47
1520814075577995857,47
1520814075651864187,47
1520814075726255441,47
1520814075803186703,47
1520814075877094709,47
1520814075934297471,47
1520814075996058549,47
1520814076069691979,47
1520814076143794669,47
1520814076217337688,47
1520814076291643114,47
1520814076364790542,47
1520814076438431646,47
1520814076515828127,47
1520814076589912548,47
1520814076663480321,47
1520814076737168222,47
1520814076810992901,47
1520814076884752060,47
1520814076958850474,47
1520814077032163429,47
1520814077106042454,47
1520814077167817224,47
1520814077224849083,47
1520814077286339961,47
1520814077360719133,47
1520814077434351809,47
1520814077508019154,47
1520814077581378152,47
1520814077658867091,47
1520814077732659144,47
1520814077806302743,47
1520814077880678936,47
1520814077954474496,47
1520814078027924040,47
1520814078102081652,47
1520814078174665507,47
1520814078252714672,47
1520814078326580651,47
1520814078400296703,47
1520814078457550484,47
1520814078518883728,47
1520814078577235659,47
1520814078650720325,47
1520814078727721361,47
1520814078801332311,47
1520814078875481108,47
1520814078949329617,47
1520814079023352034,47
1520814079096642090,47
1520814079171461029,47
1520814079244638878,47
1520814079317569659,47
1520814079395579616,47
1520814079469154748,47
1520814079542943388,47
1520814079617140837,47
1520814079691508324,47
1520814079751771880,47
1520814079808836946,47
1520814079870433002,47
1520814079944117821,47
1520814080018179857,47
1520814080091866505,47
1520814080165723120,47
1520814080239557281,47
1520814080313229659,47
1520814080387640374,47
1520814080464304922,47
1520814080538280301,47
1520814080612102783,47
1520814080685624499,47
1520814080759112101,47
1520814080833942614,47
1520814080906932564,47
1520814080981322468,47
1520814081058247396,47
1520814081116323745,47
1520814081177099430,47
1520814081250912099,47
1520814081324717408,47
1520814081398429824,47
1520814081472099221,47
1520814081546062354,47
1520814081620223930,47
1520814081693430772,47
1520814081767555583,47
1520814081844633286,47
1520814081918558096,47
1520814081992126355,47
1520814082066561961,47
1520814082139855701,47
1520814082213412249,47
1520814082287362267,47
1520814082348650341,47
1520814082406833605,47
1520814082467498494,47
1520814082541432867,47
1520814082615678904,47
1520814082688906052,47
1520814082762632924,47
1520814082836189240,47
1520814082913532401,47
1520814082987384358,47
1520814083061088291,47
1520814083134958544,47
1520814083209025398,47
1520814083283136991,47
1520814083355969929,47
1520814083430462444,47
1520814083503817382,47
1520814083581248740,47
1520814083638630078,47
1520814083699993312,47
1520814083757598801,47
1520814083831395768,47
1520814083906087302,47
1520814083978807118,47
1520814084056417119,47
1520814084130235336,47
1520814084203957310,47
1520814084278108856,47
1520814084351801771,47
1520814084425660709,47
1520814084499809209,47
1520814084572835636,47
1520814084650205911,47
1520814084724195925,47
1520814084797699415,47
1520814084872084407,47
1520814084928923669,47
1520814084990664542,47
1520814085047881812,47
1520814085125383238,47
1520814085199384650,47
