%time,field.data
1520814052070822143,47
1520814052145603153,47
1520814052219703069,47
1520814052293275957,47
1520814052368793204,47
1520814052442371377,47
1520814052516462701,47
1520814052590791853,47
1520814052649574929,47
1520814052710632562,47
1520814052768698812,47
1520814052844022646,47
1520814052916605497,47
1520814052991737407,47
1520814053065621527,47
1520814053140737560,47
1520814053214754203,47
1520814053288642290,47
1520814053362105183,47
1520814053437682648,47
1520814053511508412,47
1520814053585551167,47
1520814053660035685,47
1520814053734525950,47
1520814053808489098,47
1520814053882348329,47
1520814053941637816,47
1520814054001137233,47
1520814054060130042,47
1520814054134278797,47
1520814054209770033,47
1520814054283782234,47
1520814054357367555,47
1520814054431387605,47
1520814054505846244,47
1520814054580440387,47
1520814054654404428,47
1520814054728148878,47
1520814054803028581,47
1520814054876791493,47
1520814054951603723,47
1520814055025413592,47
1520814055099351569,47
1520814055174483314,47
1520814055248414631,47
1520814055307493324,47
1520814055366863345,47
1520814055440928032,47
1520814055515152984,47
1520814055589839505,47
1520814055663944617,47
1520814055737725842,47
1520814055811780158,47
1520814055887302576,47
1520814055960820571,47
1520814056034592643,47
1520814056108584468,47
1520814056183999042,47
1520814056258038905,47
1520814056331844716,47
1520814056405329025,47
1520814056479489204,47
1520814056539694791,47
1520814056598016971,47
1520814056658982682,47
1520814056733112367,47
1520814056806842915,47
1520814056881244503,47
1520814056954300089,47
1520814057029836078,47
1520814057103855592,47
1520814057177380689,47
1520814057252910460,47
1520814057326558086,47
1520814057400569608,47
1520814057474459344,47
1520814057548851803,47
1520814057624085913,47
1520814057697636772,47
1520814057771026738,47
1520814057831380301,47
1520814057889930122,47
1520814057949729647,47
1520814058023372387,47
1520814058099146695,47
1520814058172784979,47
1520814058246209168,47
1520814058320757496,47
1520814058395421837,47
1520814058469631232,47
1520814058543563491,47
1520814058617282743,47
1520814058691521975,47
1520814058766175379,47
1520814058840232819,47
1520814058914317892,47
1520814058989729103,47
1520814059063304995,47
1520814059122859568,47
1520814059182002121,47
1520814059241222870,47
1520814059314993497,47
1520814059388807634,47
1520814059463940126,47
1520814059538099924,47
1520814059612521032,47
1520814059686345232,47
1520814059759803998,47
1520814059835229211,47
1520814059909120833,47
1520814059982830049,47
1520814060057087785,47
1520814060132184887,47
1520814060206059256,47
1520814060279852476,47
1520814060353798839,47
1520814060413218408,47
1520814060472911149,47
1520814060530909693,47
1520814060605581906,47
1520814060680721656,47
1520814060754533625,47
1520814060828498589,47
1520814060902778970,47
1520814060977190890,47
1520814061051896272,47
1520814061126382630,47
1520814061201128776,47
1520814061274791415,47
1520814061350456859,47
1520814061422207460,47
1520814061496185330,47
1520814061572010370,47
1520814061645876395,47
1520814061705300035,47
1520814061764743938,47
1520814061824166715,47
1520814061897878640,47
1520814061971680462,47
1520814062047101217,47
1520814062120993164,47
1520814062194841032,47
1520814062268381801,47
1520814062344008052,47
1520814062417834873,47
1520814062491894775,47
1520814062565776835,47
1520814062639715922,47
1520814062714558940,47
1520814062788363891,47
1520814062862530361,47
1520814062937786950,47
1520814062996253103,47
1520814063056483828,47
1520814063114586749,47
1520814063189958384,47
1520814063264010186,47
1520814063337793933,47
1520814063412875439,47
1520814063486573243,47
1520814063560846264,47
1520814063634579390,47
1520814063708398254,47
1520814063783497152,47
1520814063857496203,47
1520814063931435946,47
1520814064005016788,47
1520814064080746094,47
1520814064154680910,47
1520814064228422058,47
1520814064287503959,47
1520814064347137886,47
1520814064406257281,47
1520814064480952275,47
1520814064555268808,47
1520814064629753168,47
1520814064703515318,47
1520814064776973603,47
1520814064851377862,47
1520814064926609975,47
1520814065000430573,47
1520814065073890780,47
1520814065149237221,47
1520814065223305855,47
1520814065297526372,47
1520814065371251752,47
1520814065445046500,47
1520814065520599035,47
1520814065579882876,47
1520814065639271072,47
1520814065698473970,47
1520814065772267229,47
1520814065846200224,47
1520814065920029014,47
1520814065995674684,47
1520814066069338292,47
1520814066143307079,47
1520814066217242278,47
1520814066292129194,47
1520814066366501836,47
1520814066440097194,47
1520814066513873838,47
1520814066589512157,47
1520814066663258619,47
1520814066737358546,47
1520814066810496144,47
1520814066870203947,47
1520814066929423204,47
1520814066988877171,47
1520814067062883284,47
1520814067138370545,47
1520814067212013186,47
1520814067285675597,47
1520814067360938581,47
1520814067434498352,47
1520814067508950115,47
1520814067583149113,47
1520814067656559500,47
1520814067731960279,47
1520814067805673484,47
1520814067879859232,47
1520814067953545724,47
1520814068028887534,47
1520814068103166801,47
1520814068162041319,47
1520814068221600209,47
1520814068281137394,47
1520814068354722433,47
1520814068428347184,47
1520814068504003884,47
1520814068578266446,47
1520814068651951155,47
1520814068726182245,47
1520814068800006431,47
1520814068875165292,47
1520814068948937753,47
1520814069022332959,47
1520814069097373906,47
1520814069171592334,47
1520814069245665327,47
1520814069319454721,47
1520814069393181094,47
1520814069453026692,47
1520814069512165773,47
1520814069571591207,47
1520814069646814248,47
1520814069720891509,47
1520814069794570853,47
1520814069868739340,47
1520814069943373319,47
1520814070017762283,47
1520814070091559112,47
1520814070165064668,47
1520814070240554891,47
1520814070314646017,47
1520814070388538703,47
1520814070462584368,47
1520814070536561600,47
1520814070611761581,47
1520814070685385013,47
1520814070744782830,47
1520814070803850339,47
1520814070863553891,47
1520814070937288800,47
1520814071011118669,47
1520814071086518239,47
1520814071160619903,47
1520814071234075893,47
1520814071308082217,47
1520814071383542926,47
1520814071457496288,47
1520814071531452551,47
1520814071604942221,47
1520814071680112715,47
1520814071754509600,47
1520814071828037871,47
1520814071901600012,47
1520814071976612707,47
1520814072035639846,47
1520814072096274370,47
1520814072154656195,47
1520814072229456895,47
1520814072303038903,47
1520814072376824401,47
1520814072451927107,47
1520814072526509872,47
1520814072600334352,47
1520814072674173351,47
1520814072747837181,47
1520814072823311107,47
1520814072897378358,47
1520814072970515956,47
1520814073046305173,47
1520814073119781525,47
1520814073194243747,47
1520814073267892812,47
1520814073327183002,47
1520814073386624317,47
1520814073460304064,47
1520814073535737246,47
1520814073609560422,47
1520814073683268500,47
1520814073757260191,47
1520814073832149167,47
1520814073906598574,47
1520814073980523407,47
1520814074054306807,47
1520814074128789803,47
1520814074203615766,47
1520814074277394139,47
1520814074351435832,47
1520814074426503114,47
1520814074500392229,47
1520814074574400166,47
1520814074633876479,47
1520814074693196961,47
1520814074766817563,47
1520814074841508323,47
1520814074916322487,47
1520814074990498612,47
1520814075063694328,47
1520814075138016456,47
1520814075213222642,47
1520814075286971596,47
1520814075360789662,47
1520814075434524043,47
1520814075509921993,47
1520814075584033277,47
1520814075657377731,47
1520814075731133831,47
1520814075806256681,47
1520814075880888169,47
1520814075940307578,47
1520814075999748496,47
1520814076073441640,47
1520814076147349290,47
1520814076221028708,47
1520814076296370600,47
1520814076370382880,47
1520814076443734334,47
1520814076519118931,47
1520814076593381738,47
1520814076667310108,47
1520814076741076694,47
1520814076815008016,47
1520814076890738291,47
1520814076964363671,47
1520814077038009983,47
1520814077111933913,47
1520814077171259572,47
1520814077230695739,47
1520814077290026392,47
1520814077365504496,47
1520814077439401958,47
1520814077513265944,47
1520814077587117497,47
1520814077662125420,47
1520814077736194715,47
1520814077810114589,47
1520814077883875346,47
1520814077957820554,47
1520814078032712686,47
1520814078106803435,47
1520814078180269013,47
1520814078256179209,47
1520814078329970253,47
1520814078403960420,47
1520814078463184682,47
1520814078522751929,47
1520814078582120166,47
1520814078655689409,47
1520814078730884920,47
1520814078804432150,47
1520814078879304436,47
1520814078952721978,47
1520814079026650203,47
1520814079102386343,47
1520814079175918088,47
1520814079249968898,47
1520814079323481318,47
1520814079398652072,47
1520814079473171341,47
1520814079546803050,47
1520814079620392478,47
1520814079694803897,47
1520814079755335024,47
1520814079813176524,47
1520814079873561792,47
1520814079948224126,47
1520814080021966148,47
1520814080095698497,47
1520814080170102084,47
1520814080244679351,47
1520814080318741194,47
1520814080392385425,47
1520814080467694334,47
1520814080542250432,47
1520814080615874516,47
1520814080689358309,47
1520814080763213389,47
1520814080838169760,47
1520814080912499482,47
1520814080986468087,47
1520814081061494332,47
1520814081119755600,47
1520814081180507587,47
1520814081254342160,47
1520814081328510513,47
1520814081402321912,47
1520814081475839435,47
1520814081551374812,47
1520814081625309411,47
1520814081698816168,47
1520814081773779067,47
1520814081848006708,47
1520814081922437954,47
1520814081995828336,47
1520814082069828694,47
1520814082144504914,47
1520814082219096100,47
1520814082292800356,47
1520814082352730018,47
1520814082411727380,47
1520814082471406073,47
1520814082544875831,47
1520814082619015243,47
1520814082694271177,47
1520814082767944946,47
1520814082841522418,47
1520814082917035272,47
1520814082990567338,47
1520814083065004187,47
1520814083138711612,47
1520814083212635044,47
1520814083287853294,47
1520814083361878475,47
1520814083435267620,47
1520814083509652969,47
1520814083584869528,47
1520814083644014090,47
1520814083703442307,47
1520814083763266641,47
1520814083837165464,47
1520814083910758190,47
1520814083984688368,47
1520814084059924574,47
1520814084134215485,47
1520814084207788299,47
1520814084281482286,47
1520814084356432944,47
1520814084430783798,47
1520814084504744731,47
1520814084578446524,47
1520814084653536963,47
1520814084727606234,47
1520814084801533788,47
1520814084875416324,47
1520814084934357420,47
1520814084994340924,47
1520814085053503727,47
1520814085128835376,47
1520814085202615100,47
1520814085276897894,47
1520814085350536656,47
1520814085424522349,47
